id;name
25135;MAD.com
25136;MoFunZone Inc
25137;Nikolai Usachev
25138;USANIK STD
25144;Hoodoo Bear
25148;BUG-Studio
25152;WonderlandKazakiri
25153;idealCat
25175;Natalie Clayton
25176;Xalavier Nelson Jr.
25177;Priscilla Snow
25226;Dominique Star
25227;MIT Media Lab
25230;St. GIGA
25265;Shiver Entertainment
25407;Studio Oleomingus
25436;Gengosha
25708;Gabriel Toschi
25709;David Rodrigues
25710;Ana Maia Baptistão
25711;Thales Bonini
25752;Berkeley Softworks
25756;Heliodor
25780;PaperTinker Studios
25781;Pintian Zhang
25791;Kabam Games, Inc.
25792;Kabam Montreal, Inc.
25802;LuigiBlood
25812;JBo Media
1260;Behaviour Interactive
1271;Ocean Software
1281;Kemco
1287;Irem
1304;Tantalus Media
1311;Cartoon Network Interactive
1313;Art Co., Ltd
1339;Elite Systems
1359;Ruffian Games
1365;Lucas Pope
1371;General Arcade
1383;ACQUIRE Corp.
1384;Tradewest Inc
1389;Bossa Studios
1392;Vostok Games
1394;Omega Force
1405;Nippon Ichi Software
1418;Chucklefish Games
1432;Playground Games
1433;Undead Labs
1440;Taito Corporation
1460;Plug In Digital
1474;SNK
1493;Crescent Moon Games
1495;Michael Todd Games
1505;EA Maxis
1510;Colossal Order Ltd.
1527;Giants Software
1532;Hopoo Games
1545;Atomhawk Design
1617;Game Freak
1633;Warner Bros. Studios
1664;Doublespeak Games
1666;Sega Europe
1701;Ice-Pick Lodge
1704;Cyberdreams, Inc.
1718;Dead Mage
1722;Tom Create
1753;Technos Japan
1765;Nerd Monkeys
1771;Victor Entertainment
1795;Conspiracy Entertainment
1803;Bigben Interactive
1809;Nintendo R&D1
1821;ASCII Entertainment
1843;Guerrilla Games
1848;Kotobuki Systems
1854;Enix Corporation
1863;XPEC
1893;PopCap Games
1898;Sanzaru Games
1901;Reef Entertainment
1904;Team6 Game Studios
1920;Viz Media
1924;Compulsion Games
1934;Skip Ltd.
1952;Sting Entertainment
1956;Idea Factory
1973;Twisted Pixel
1975;2K Sports
1987;Genuine Games
1997;Ganbarion
2016;GungHo Online Entertainment, Inc.
2019;Humagade
2052;NEC Interchannel
2067;Dempa Shimbunsha
2084;Wicked Witch Software
2095;Panic Button Games
2097;20th Century Fox Games
2100;UFO Interactive Software
2103;Aksys Games
2121;Iron Galaxy Studios
2154;Keen Games
2161;Armor Project
2168;Drinkbox Studios
2170;SIE San Diego Studio
2171;Warhorse Studios
2172;Deck13 Interactive
2187;XSEED Games
2200;Starfish SD
2206;Shade
2216;Shift
2233;Red Entertainment
2238;EastAsiaSoft
2243;Hitcents
2245;Big Fish Games
2248;Daedalic Entertainment
2252;Compile Heart
2254;ArtePiazza
2262;NIS America
2267;Epicenter Studios
2271;SpiderMonk Entertainment
2276;Fusionsphere Systems
2277;Animation Arts
2297;ColdWood Interactive
2329;GameMill Entertainment
2332;Corecell Technology
2344;Inti Creates
2371;Revolutionary Concepts
2389;Digital Leisure
2390;Engine Software
2397;King Art
2410;Frogwares
2417;Tapwave
2424;Arena Entertainment
2426;Coleco
2428;5pb.
2434;Kogado Studio
2448;Positech Games
2450;Versus Evil
2460;Phoenix Online Studios
2473;Pathea Games
2476;Thomas Bowker
2481;Sandlot
2488;Atlus USA
2490;Kunos Simulazioni
2499;Hi-Rez Studios
2501;Overhaul Games
2512;Midnight City
2513;White Paper Games
2514;Limbic Entertainment
2542;Image & Form
2546;Shiver Games
2575;Blueside
2576;Phantagram
2582;SNK Playmore
2603;Free Lives Games
2648;Visual Arts
2670;HexaDrive
2676;Media.Vision
2678;Data East
2693;Nude Maker
2700;Ironward
2701;Simogo
2729;Frozenbyte
2751;Nihon Falcom
2767;Leguna
2776;Iceberg Interactive
2783;Enix America Corporation
2802;Denki
2808;XL Games
2821;Eighting
2839;Naxat Soft
2848;eGames
2850;Nintendo of America
2852;Ripstone
2884;Gears for Breakfast
2888;Psikyo
9440;Mi-Clos Studio
9444;Home Net Games
9453;Landfall Games
9456;Team Junkfish
9475;Cloudhead Games
9491;GamesBoosters
9508;Faravid Interactive
9514;AlpixelGames
9531;Alasdair Beckett-King
9537;Weappy Studio
9553;Elder Games
9579;Lince Works
9586;Fool's Theory
9606;Sony Interactive Entertainment Europe
9607;Bandai Namco Entertainment Europe
9608;Bandai Namco Entertainment America
9615;Shadowplay Studios
9691;Secret 6
9729;Red Phantom Games
9730;Clifftop Games
9734;Bulwark Studios
9791;DICO Co., Ltd.
9868;Survios
9945;Forgotten Key
9948;Playsport Games
9951;Megastorm Games
9969;P Studio
9970;U-Play online
10002;Shawn Hitchcock
10006;Flaming Fowl Studios
10019;SIE Bend Studio
10024;Idea Factory International, Inc.
10025;PREAPP PARTNERS
10028;OtherSide Entertainment
10029;Puzzling Dream
10030;Steve Gal
10075;THQ Nordic
10091;Virgin Interactive Entertainment, Inc.
10094;Gun Media
10100;Sony Interactive Entertainment
10141;Sega Entertainment
10294;Throw the warped code out
10296;Elden Pixels
10303;Leonard Menchiari
10304;IV Productions
10311;Paranoid Productions
10314;House House
10315;Lizardcube
10318;Askiisoft
10341;Undertow Games
10349;Three Fields Entertainment
10352;Mixtvision
10354;IronOak Games
10384;Polyslash
10385;Snowman
10391;NoClip
10413;Minskworks
10442;Com2uS
10448;The House of Fables
10460;Scott Games
10473;F K Digital Pty Ltd.
10492;Cultic Games
10496;Team Crimson
10507;Ratalaika Games S.L.
10547;Last Level
10548;Aleson
10549;HypeTrain Digital
10561;SemiSoft
10564;DeNA
10570;Pippin Barr
10591;Grumpyface Studios
10592;Cartoon Network
10610;Clockwork Pixels
10627;Ivent Games
10666;Cornfox & Bros.
10667;FDG Entertainment
10671;Electronic Software Limited
10692;SIE Japan Studio
10809;Gunfire Games
10810;Matt Dabrowski
10836;Green Man Gaming Publishing
10862;Another Indie
10870;Goblinz Studio
10895;Invader Studios
10955;Sometimes You
10962;Ryan Davis
11005;Twice Circled
11019;Infinigon
11023;Undercoders
11035;Psyop
11067;Games Workshop
17636;Whitehorn Digital
17639;Hugecalf Studios
17650;Claudiu Kiss
17651;Ludipe & Friends
17657;Dimoso
17665;Handy Games
17719;Gaming Corps
17818;FakeFish
