id,name
1010,Microsoft Studios
1014,Data Design Interactive
1027,"Distinctive Software, Inc."
1033,SCE London Studio
1058,Xicat Interactive
1121,Atarisoft
1137,Milton Bradley
1149,Virtual Sports Interactive
1151,"Game Arts Co., Ltd."
1153,ArtGame
1281,Kemco
1285,King Games
1295,Point of View
1318,Sidhe Interactive
1327,SouthPeak Interactive
1329,Teeny Weeny Games
1363,Akella
1383,ACQUIRE Corp.
1401,Oxeye Game Studio
1405,Nippon Ichi Software
1410,Tru Blu Entertainment
1459,Milestone S.r.l.
1489,Video System
1612,Pan Vision
1774,Nintendo R&D2
1783,Midway Home Entertainment
1789,Smart Dog
1839,Williams Electronics
1860,Virgin Entertainment
1870,gloot.net
1872,C2 Vision
1913,tri-Crescendo
1952,Sting Entertainment
1985,Melbourne House
2040,Wanadoo Edition
2078,Hot Lava Games
2097,20th Century Fox Games
2102,Zoo Games
2103,Aksys Games
2104,Google
2113,Nobilis
2144,Sproing Interactive Media
2172,Deck13 Interactive
2192,Zushi Games
2238,EastAsiaSoft
2244,Katauri Interactive
2254,ArtePiazza
2324,CyberFront Korea
2329,GameMill Entertainment
2376,Park Place Productions
2383,Holocronet
2387,Studio Alex
2404,Tengen
2428,5pb.
2674,Nintendo SPD Group No. 1
2678,Data East
2921,Ubisoft Kiev
2976,Autumn Games
3032,Prototype
3080,Dee Games
3115,Bluehole Studio
3225,CreativeForge Games
3582,Activision Publishing
3703,NEC
3704,NEC Home Electronics
3715,Hewson Consultants
3928,Ubisoft Chengdu
3958,Bandai Namco Games
4027,Focus Multimedia
4231,Perfect Entertainment
4442,Newgrounds
4468,SEGA of Japan
4484,Hardlight
4760,Cherry Pop Games
4813,Rival Games
5040,tinyBuild
5090,Deep Shadows
5169,Armor Games
5292,KCEO
5318,Wanako Studios Ltd.
5319,Sierra Online
5325,Sekai Project
5620,Intragames
5696,D3T Limited
5838,Artifex Mundi
5840,Seika Corporation
6053,Gathering
6083,Fruitbat Factory
6130,RVL Games
6326,Corbie Games
6330,Namco Bandai Games
6356,Electronic Zoo
6364,General Computer Corporation (GCC)
6445,Winking Entertainment
6531,Game Troopers
